Numero du dept : 23
1 Aubrac et Carladez 10389 Polygon
2 Aveyron et Tarn 10856 Polygon
3 Causse-Comtal 11444 Polygon
4 Causses-Rougiers 11548 Polygon
5 Ceor-Ségala 13809 Polygon
6 Enne et Alzou 13414 Polygon
7 Lot et Dourdou 14042 Polygon
8 Lot et Montbazinois 11585 Polygon
9 Lot et Palanges 10207 Polygon
10 Lot et Truyère 10045 Polygon
11 Millau-1 14184 Polygon
12 Millau-2 14463 Polygon
13 Monts du Réquistanais 10630 Polygon
14 Nord-Lévezou 12989 Polygon
15 Raspes et Lévezou 10932 Polygon
16 Rodez-1 11434 Polygon
17 Rodez-2 12137 Polygon
18 Rodez-Onet 13347 Polygon
19 Saint-Affrique 12797 Polygon
20 Tarn et Causses 10262 Polygon
21 Vallon 11972 Polygon
22 Villefranche-de-Rouergue 13168 Polygon
23 Villeneuvois et Villefranchois 10575 Polygon

2.927387 44.78683 2.932185 44.783562 1 0
2.932185 44.783562 2.937853 44.774901 1 0
2.937853 44.774901 2.934392 44.770718 1 0
2.934392 44.770718 2.935628 44.767214 1 0
2.935628 44.767214 2.930828 44.761653 1 0
2.930828 44.761653 2.925074 44.763581 1 0
2.925074 44.763581 2.921874 44.765895 1 0
2.921874 44.765895 2.916517 44.767327 1 0
2.916517 44.767327 2.912857 44.764528 1 0
2.912857 44.764528 2.912001 44.760463 1 0
2.912001 44.760463 2.916306 44.756291 1 0
2.916306 44.756291 2.920085 44.754727 1 0
2.920085 44.754727 2.926803 44.757695 1 0
2.926803 44.757695 2.928601 44.754313 1 0
2.928601 44.754313 2.933781 44.749818 1 0
2.933781 44.749818 2.934927 44.744831 1 0
2.934927 44.744831 2.931674 44.73754 1 0
2.931674 44.73754 2.924245 44.729446 1 0
2.924245 44.729446 2.925636 44.726843 1 0
2.925636 44.726843 2.92945 44.71456 1 0
2.92945 44.71456 2.934182 44.707163 1 0
2.934182 44.707163 2.934785 44.704014 1 0
2.934785 44.704014 2.933902 44.697074 1 0
2.933902 44.697074 2.937639 44.693668 1 0
2.937639 44.693668 2.941249 44.686771 1 0
2.941249 44.686771 2.943944 44.68505 1 0
2.943944 44.68505 2.93837 44.682255 1 0
2.93837 44.682255 2.939315 44.677679 1 0
2.939315 44.677679 2.945467 44.676847 1 0
2.945467 44.676847 2.948568 44.674482 1 0
2.948568 44.674482 2.950767 44.669783 1 0
2.950767 44.669783 2.955229 44.667595 1 0
2.955229 44.667595 2.955359 44.660451 1 0
2.955359 44.660451 2.963536 44.658145 1 0
2.963536 44.658145 2.963472 44.654744 1 0
2.963472 44.654744 2.973147 44.645944 1 0
2.973147 44.645944 2.975776 44.644815 1 0
2.975776 44.644815 2.982262 44.645147 1 0
2.982262 44.645147 2.986023 44.643278 1 0
2.986023 44.643278 2.990501 44.637845 1 0
2.990501 44.637845 2.999575 44.633053 1 0
2.999575 44.633053 3.015663 44.618574 1 0
3.015663 44.618574 3.015996 44.614472 1 0
3.015996 44.614472 3.019818 44.609818 1 0
3.019818 44.609818 3.024518 44.607414 1 0
3.024518 44.607414 3.030822 44.600742 1 0
3.030822 44.600742 3.029451 44.599512 1 9
3.029451 44.599512 3.016391 44.600492 1 9
3.016391 44.600492 3.014506 44.599211 1 9
3.014506 44.599211 3.01056 44.591331 1 9
3.01056 44.591331 3.015953 44.586087 1 9
3.015953 44.586087 3.014216 44.582979 1 9
3.014216 44.582979 3.00713 44.584278 1 9
3.00713 44.584278 2.999334 44.583684 1 9
2.999334 44.583684 2.991833 44.575532 1 9
2.991833 44.575532 2.98688 44.574879 1 9
2.98688 44.574879 2.983224 44.572694 1 9
2.983224 44.572694 2.977434 44.567131 1 9
2.977434 44.567131 2.975956 44.56438 1 9
2.975956 44.56438 2.97118 44.560286 1 9
2.97118 44.560286 2.96449 44.557793 1 9
2.96449 44.557793 2.961838 44.559381 1 9
2.961838 44.559381 2.953147 44.559962 1 9
2.953147 44.559962 2.946196 44.557083 1 9
2.946196 44.557083 2.94488 44.551354 1 9
2.94488 44.551354 2.937838 44.547382 1 9
2.937838 44.547382 2.937485 44.545275 1 9
2.937485 44.545275 2.925808 44.541143 1 9
2.925808 44.541143 2.920694 44.535499 1 9
2.920694 44.535499 2.915458 44.533905 1 9
2.915458 44.533905 2.913797 44.535931 1 9
2.913797 44.535931 2.918182 44.540913 1 9
2.918182 44.540913 2.916319 44.546198 1 9
2.916319 44.546198 2.908768 44.548233 1 9
2.908768 44.548233 2.901254 44.553878 1 9
2.901254 44.553878 2.903609 44.559386 1 9
2.903609 44.559386 2.899819 44.563452 1 9
2.899819 44.563452 2.899649 44.567221 1 9
2.899649 44.567221 2.904417 44.568995 1 9
2.904417 44.568995 2.90398 44.571768 1 9
2.90398 44.571768 2.896894 44.571839 1 9
2.896894 44.571839 2.891756 44.574071 1 9
2.891756 44.574071 2.889515 44.572062 1 9
2.889515 44.572062 2.883757 44.571884 1 9
2.883757 44.571884 2.879309 44.567071 1 9
2.879309 44.567071 2.871517 44.569102 1 9
2.871517 44.569102 2.868055 44.566221 1 9
2.868055 44.566221 2.867561 44.56302 1 9
2.867561 44.56302 2.856114 44.557576 1 9
2.856114 44.557576 2.854677 44.554308 1 9
2.854677 44.554308 2.851186 44.553983 1 9
2.851186 44.553983 2.847825 44.557652 1 9
2.847825 44.557652 2.839589 44.557601 1 9
2.839589 44.557601 2.832264 44.56088 1 9
2.832264 44.56088 2.833172 44.566631 1 9
2.833172 44.566631 2.826908 44.569602 1 9
2.826908 44.569602 2.817911 44.566931 1 9
2.817911 44.566931 2.815143 44.560855 1 9
2.815143 44.560855 2.810707 44.560908 1 9
2.810707 44.560908 2.80791 44.563409 1 9
2.80791 44.563409 2.803677 44.559155 1 9
2.803677 44.559155 2.804604 44.555753 1 9
2.804604 44.555753 2.797159 44.55536 1 9
2.797159 44.55536 2.793658 44.558342 1 10
2.793658 44.558342 2.798165 44.56368 1 10
2.798165 44.56368 2.799325 44.568222 1 10
2.799325 44.568222 2.801613 44.569785 1 10
2.801613 44.569785 2.807505 44.570065 1 10
2.807505 44.570065 2.813122 44.57684 1 10
2.813122 44.57684 2.816859 44.577312 1 10
