Numero du dept : 29
1 Bièvre 43024 Polygon
2 Bourgoin-Jallieu 50320 Polygon
3 Chartreuse-Guiers 35299 Polygon
4 Charvieu-Chavagneux 50085 Polygon
5 Echirolles 46456 Polygon
6 Fontaine-Seyssinet 37386 Polygon
7 Fontaine-Vercors 38210 Polygon
8 Le Grand-Lemps 34596 Polygon
9 Grenoble-1 46843 Polygon
10 Grenoble-2 44021 Polygon
11 Grenoble-3 46817 Polygon
12 Grenoble-4 46807 Polygon
13 Le Haut-Grésivaudan 42030 Polygon
14 L'Isle-d'Abeau 49566 Polygon
15 Matheysine-Trièves 29277 Polygon
16 Meylan 43912 Polygon
17 Morestel 36615 Polygon
18 Le Moyen Grésivaudan 43923 Polygon
19 Oisans-Romanche 33065 Polygon
20 Le Pont-de-Claix 44436 Polygon
21 Roussillon 45475 Polygon
22 Saint-Martin-d'Hères 47142 Polygon
23 Le Sud Grésivaudan 40823 Polygon
24 La Tour-du-Pin 34770 Polygon
25 Tullins 37968 Polygon
26 La Verpillière 43419 Polygon
27 Vienne-1 39712 Polygon
28 Vienne-2 47469 Polygon
29 Voiron 45527 Polygon

5.415148 45.36152 5.414023 45.357011 1 8
5.414023 45.357011 5.409256 45.347872 1 8
5.409256 45.347872 5.406395 45.339633 1 8
5.406395 45.339633 5.406768 45.336572 1 8
5.406768 45.336572 5.402996 45.326475 1 8
5.402996 45.326475 5.408881 45.32552 1 8
5.408881 45.32552 5.410271 45.321432 1 8
5.410271 45.321432 5.413795 45.323581 1 8
5.413795 45.323581 5.422432 45.32389 1 8
5.422432 45.32389 5.425405 45.32607 1 8
5.425405 45.32607 5.430154 45.324191 1 8
5.430154 45.324191 5.452223 45.325973 1 8
5.452223 45.325973 5.45723 45.325325 1 8
5.45723 45.325325 5.455074 45.321752 1 25
5.455074 45.321752 5.454981 45.315908 1 25
5.454981 45.315908 5.450304 45.314885 1 25
5.450304 45.314885 5.449236 45.311409 1 25
5.449236 45.311409 5.443703 45.303372 1 25
5.443703 45.303372 5.439153 45.30099 1 25
5.439153 45.30099 5.439875 45.299104 1 25
5.439875 45.299104 5.437515 45.297697 1 23
5.437515 45.297697 5.437905 45.293723 1 23
5.437905 45.293723 5.432026 45.291578 1 23
5.432026 45.291578 5.432867 45.286738 1 23
5.432867 45.286738 5.427489 45.285301 1 23
5.427489 45.285301 5.419947 45.287089 1 23
