Numero du dept : 19
1 Angoulême-1 18855 Polygon
2 Angoulême-2 19158 Polygon
3 Angoulême-3 22451 Polygon
4 Boëme-Echelle 17899 Polygon
5 Boixe-et-Manslois 17536 Polygon
6 Charente-Bonnieure 17321 Polygon
7 Charente-Champagne 17191 Polygon
8 Charente-Nord 18924 Polygon
9 Charente-Sud 20115 Polygon
10 Charente-Vienne 19028 Polygon
11 Cognac-1 16797 Polygon
12 Cognac-2 17541 Polygon
13 La Couronne 15597 Polygon
14 Gond-Pontouvre 19513 Polygon
15 Jarnac 15971 Polygon
16 Touvre-et-Braconne 18900 Polygon
17 Tude-et-Lavalette 18182 Polygon
18 Val de Nouère 20850 Polygon
19 Val de Tardoire 21828 Polygon

0.141627 45.624106 0.13835 45.627317 3 13
0.13835 45.627317 0.132731 45.629798 3 13
0.132731 45.629798 0.132731 45.629798 3 0
-0.00138 45.603744 0.008631 45.602676 4 18
0.008631 45.602676 0.023705 45.603891 4 18
0.023705 45.603891 0.024937 45.605417 4 18
0.024937 45.605417 0.032115 45.606065 4 18
0.032115 45.606065 0.037353 45.610349 4 18
0.037353 45.610349 0.040361 45.610704 4 13
0.040361 45.610704 0.056831 45.604093 4 13
0.056831 45.604093 0.060093 45.601994 4 13
0.060093 45.601994 0.063169 45.60619 4 13
0.063169 45.60619 0.063125 45.609859 4 13
0.063125 45.609859 0.069273 45.611522 4 13
0.069273 45.611522 0.07993 45.609281 4 13
0.07993 45.609281 0.082104 45.604036 4 13
0.082104 45.604036 0.080707 45.602175 4 13
0.080707 45.602175 0.082354 45.59055 4 13
0.082354 45.59055 0.091577 45.586023 4 13
0.091577 45.586023 0.09466 45.582231 4 13
0.09466 45.582231 0.104656 45.58169 4 13
0.104656 45.58169 0.109318 45.583957 4 13
0.109318 45.583957 0.117604 45.579739 4 13
0.117604 45.579739 0.122004 45.581013 4 13
0.122004 45.581013 0.124798 45.583971 4 13
0.124798 45.583971 0.129293 45.58373 4 13
0.129293 45.58373 0.129929 45.586222 4 13
0.129929 45.586222 0.136094 45.587754 4 13
0.136094 45.587754 0.141603 45.591905 4 13
0.141603 45.591905 0.1425 45.597551 4 13
0.1425 45.597551 0.140679 45.601652 4 13
0.140679 45.601652 0.143597 45.6054 4 13
0.143597 45.6054 0.151324 45.607219 4 13
0.151324 45.607219 0.151682 45.614641 4 13
0.151682 45.614641 0.15086 45.617234 4 13
0.15086 45.617234 0.163459 45.610694 4 13
0.163459 45.610694 0.169871 45.608833 4 13
0.169871 45.608833 0.1717 45.595633 4 13
0.1717 45.595633 0.176064 45.592087 4 13
0.176064 45.592087 0.179203 45.595003 4 13
0.179203 45.595003 0.176652 45.600314 4 13
0.176652 45.600314 0.179229 45.603031 4 13
0.179229 45.603031 0.183467 45.601434 4 13
0.183467 45.601434 0.185908 45.606108 4 13
0.185908 45.606108 0.195109 45.611764 4 13
0.195109 45.611764 0.188014 45.618097 4 13
0.188014 45.618097 0.18547 45.627573 4 13
0.18547 45.627573 0.189976 45.628233 4 3
0.189976 45.628233 0.203971 45.621917 4 3
0.203971 45.621917 0.216047 45.619926 4 3
0.216047 45.619926 0.220705 45.622069 4 3
